clave_alumno,materias_aprobadas,materias_reprobadas,materias_totales,promedio_calificaciones,desviacion_calificaciones,duracion_estudios,sexo,prepa,prepa_nombre,carrera,ciudad,colonia,carrera_codificada,ciudad_codificada,colonia_codificada
187,51,7,58,70.6896551724138,27.72496936327969,0.0,1,184.0,INST.TECNOL.SUP.DE SINALOA A.C,Mecanica,"CULIACAN, SIN.",Bugambilias,5,145,141
188,52,0,52,91.59615384615384,8.816783494651183,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Mecanica,"CULIACAN,SIN.",Humaya,5,149,400
191,51,1,52,86.38461538461539,15.784273441766796,0.0,1,153.0,C.E.T.I.S. 107,Mecanica,"CULIACAN, SIN.",Infonavit Jobori,5,145,433
192,47,10,57,64.70175438596492,31.06270438983099,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Mecanica,"CULIACAN, SIN.",Loma Linda,5,145,516
193,12,9,21,45.285714285714285,40.47733051615788,0.0,1,47.0,COBAES 47(PROFR.MIGUEL CASTRO),Mecanica,"QUILA, CULIACAN",Centro,5,404,183
195,46,15,61,60.295081967213115,35.66012911843099,0.0,1,9.0,COBAES 9(GRAL. BENJAMIN HILL),Mecanica,"NAVOLATO, SIN.",Alcanfores,5,360,78
197,4,2,6,51.333333333333336,39.933277684991836,0.0,1,79.0,COLEGIO CULIACAN,Mecanica,"MOCORITO, SIN.",,5,355,870
198,47,14,61,59.81967213114754,33.768085621743154,0.0,1,14.0,COBAES 14(PROFRA.IGNACIA ARRA),Mecanica,"COSTA RICA, CLN",Juan de Dios Batiz,5,109,462
199,47,10,57,66.17543859649123,31.847921443174698,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Mecanica,"CULIACAN, SIN.",San Rafael,5,145,719
200,54,0,54,85.14814814814815,8.040950397707515,0.0,1,53.0,COBAES 53(PROFRA. FCA. LOPEZ ),Mecanica,"COSTA RICA,CLN",Stanza Solare,5,115,727
201,6,5,11,41.63636363636363,40.33676419167192,0.0,1,16.0,COBAES 16(PROFR. CIPRIANO OBE),Mecanica,"VILLA JUAREZ,C.",4 de Marzo,5,495,17
202,52,4,56,73.05357142857143,21.644583318072605,0.0,1,17.0,COBAES 17(PROFR. GABRIEL LEYV),Mecanica,"CULIACAN, SIN.",Villa del Real,5,145,785
203,56,4,60,77.48333333333333,22.135554394719414,0.0,1,145.0,Uas (guasave Diurna),Mecanica,"CULIACAN, SIN.",Obrero Campesino,5,145,593
204,53,1,54,81.85185185185185,14.129331738403776,0.0,1,30.0,COBAES 30(ING. JUAN DE DIOS B),Mecanica,"COSTA RICA, CLN",La Constancia,5,109,498
205,42,15,57,59.175438596491226,36.46628717391759,0.0,1,9.0,COBAES 9(GRAL. BENJAMIN HILL),Mecanica,"NAVOLATO, SIN.",,5,360,870
206,49,13,62,64.53225806451613,34.3123156888647,0.0,1,9.0,COBAES 9(GRAL. BENJAMIN HILL),Mecanica,NAVOLATO,Alcanfores,5,357,78
